date,temperature,humidity,luminosity
2022-11-10 15:30:46.704,23.2,33.5,101
2022-11-10 15:30:45.705,23.2,33.5,102
2022-11-10 15:30:44.426,23.1,33.4,103
2022-11-10 15:30:43.426,23.1,33.4,103
2022-11-10 15:30:42.149,23.1,33.4,103
2022-11-10 15:30:41.145,23.1,33.4,102
2022-11-10 15:30:39.870,23.1,33.4,102
2022-11-10 15:30:38.867,23.1,33.4,102
2022-11-10 15:30:37.592,23.1,33.4,102
2022-11-10 15:30:36.589,23.1,33.4,102
2022-11-10 15:30:35.311,23.1,33.4,101
2022-11-10 15:30:34.311,23.1,33.4,101
2022-11-10 15:30:33.034,23.1,33.5,102
2022-11-10 15:30:32.033,23.1,33.5,102
2022-11-10 15:30:30.757,23.1,33.5,101
2022-11-10 15:30:29.757,23.1,33.5,101
2022-11-10 15:30:28.478,23.1,33.5,101
2022-11-10 15:30:27.474,23.1,33.5,101
2022-11-10 15:30:26.201,23.1,33.5,101
2022-11-10 15:30:25.198,23.1,33.5,101
2022-11-10 15:30:23.919,23.1,33.4,101
2022-11-10 15:30:22.919,23.1,33.4,101
2022-11-10 15:30:21.642,23.1,33.2,101
2022-11-10 15:30:20.642,23.1,33.2,101
2022-11-10 15:30:19.363,23.1,33.1,101
2022-11-10 15:30:18.365,23.1,33.1,100
2022-11-10 15:30:17.087,23.1,33.2,101
2022-11-10 15:30:16.082,23.1,33.2,102
2022-11-10 15:30:14.809,23.1,33.2,102
2022-11-10 15:30:13.806,23.1,33.2,103
2022-11-10 15:30:12.531,23.1,33.2,103
2022-11-10 15:30:11.528,23.1,33.2,104
2022-11-10 15:30:10.250,23.1,33.1,103
2022-11-10 15:30:09.250,23.1,33.1,103
2022-11-10 15:30:07.972,23.1,33.1,103
2022-11-10 15:30:06.973,23.1,33.1,103
2022-11-10 15:30:05.695,23.1,33.1,103
2022-11-10 15:30:04.690,23.1,33.1,103
2022-11-10 15:30:03.417,23.1,33.1,103
2022-11-10 15:30:02.412,23.1,33.1,103
2022-11-10 15:30:01.138,23.1,33.1,103
2022-11-10 15:30:00.136,23.1,33.1,103
2022-11-10 15:29:58.860,23.1,33.1,103
2022-11-10 15:29:57.857,23.1,33.1,103
2022-11-10 15:29:56.579,23.1,33.2,103
2022-11-10 15:29:55.581,23.1,33.2,103
2022-11-10 15:29:54.301,23.1,33.2,103
2022-11-10 15:29:53.303,23.1,33.2,103
2022-11-10 15:29:52.025,23.1,33.1,103
2022-11-10 15:29:51.020,23.1,33.1,103
2022-11-10 15:29:49.746,23.1,33.1,103
2022-11-10 15:29:48.742,23.1,33.1,103
2022-11-10 15:29:47.469,23.1,33.1,103
2022-11-10 15:29:46.465,23.1,33.1,103
2022-11-10 15:29:45.188,23.1,33.1,103
2022-11-10 15:29:44.187,23.1,33.1,103
2022-11-10 15:29:42.910,23.1,33.1,103
2022-11-10 15:29:41.911,23.1,33.1,103
2022-11-10 15:29:40.632,23.1,33.1,103
2022-11-10 15:29:39.632,23.1,33.1,103
2022-11-10 15:29:38.354,23.1,33.1,103
2022-11-10 15:29:37.351,23.1,33.1,103
2022-11-10 15:29:36.076,23.1,33.1,103
2022-11-10 15:29:35.072,23.1,33.1,103
2022-11-10 15:29:33.800,23.1,33.1,103
2022-11-10 15:29:32.796,23.1,33.1,102
2022-11-10 15:29:31.517,23.1,33.0,102
2022-11-10 15:29:30.517,23.1,33.0,103
2022-11-10 15:29:29.239,23.1,33.0,103
2022-11-10 15:29:28.239,23.1,33.0,103
2022-11-10 15:29:26.961,23.1,33.0,103
2022-11-10 15:29:25.958,23.1,33.0,103
2022-11-10 15:29:24.684,23.1,33.0,103
2022-11-10 15:29:23.680,23.1,33.0,103
2022-11-10 15:29:22.406,23.1,32.9,103
2022-11-10 15:29:21.402,23.1,32.9,103
2022-11-10 15:29:20.128,23.1,32.9,103
2022-11-10 15:29:19.125,23.1,32.9,102
2022-11-10 15:29:17.847,23.1,32.9,102
2022-11-10 15:29:16.847,23.1,32.9,103
2022-11-10 15:29:15.570,23.1,32.9,103
2022-11-10 15:29:14.569,23.1,32.9,103
2022-11-10 15:29:13.293,23.1,32.9,103
2022-11-10 15:29:12.293,23.1,32.9,103
2022-11-10 15:29:11.014,23.1,32.9,103
2022-11-10 15:29:10.011,23.1,32.9,103
2022-11-10 15:29:08.736,23.1,32.9,103
2022-11-10 15:29:07.733,23.1,32.9,103
2022-11-10 15:29:06.459,23.1,33.0,104
2022-11-10 15:29:05.455,23.1,33.0,104
2022-11-10 15:29:04.177,23.1,33.0,104
2022-11-10 15:29:03.178,23.1,33.0,104
2022-11-10 15:29:01.899,23.1,33.0,103
2022-11-10 15:29:00.900,23.1,33.0,103
2022-11-10 15:28:59.622,23.1,33.1,103
2022-11-10 15:28:58.622,23.1,33.1,103
2022-11-10 15:28:57.344,23.1,33.1,103
2022-11-10 15:28:56.340,23.1,33.1,103
2022-11-10 15:28:55.066,23.1,33.1,103
2022-11-10 15:28:54.063,23.1,33.1,103
2022-11-10 15:28:52.788,23.1,33.2,103
2022-11-10 15:28:51.785,23.1,33.2,103
2022-11-10 15:28:50.506,23.1,33.2,103
2022-11-10 15:28:49.508,23.1,33.2,103
2022-11-10 15:28:48.230,23.1,33.2,103
2022-11-10 15:28:47.231,23.1,33.2,103
2022-11-10 15:28:45.952,23.1,33.2,103
2022-11-10 15:28:44.953,23.1,33.2,103
2022-11-10 15:28:43.674,23.1,33.2,103
2022-11-10 15:28:42.670,23.1,33.2,103
2022-11-10 15:28:41.397,23.1,33.2,103
2022-11-10 15:28:40.393,23.1,33.2,103
2022-11-10 15:28:39.119,23.1,33.2,103
2022-11-10 15:28:38.115,23.1,33.2,103
2022-11-10 15:28:36.838,23.1,33.3,103
2022-11-10 15:28:35.838,23.1,33.3,103
2022-11-10 15:28:34.560,23.1,33.3,103
2022-11-10 15:28:33.561,23.1,33.3,103
2022-11-10 15:28:32.282,23.1,33.3,103
2022-11-10 15:28:31.282,23.1,33.3,103
2022-11-10 15:28:30.005,23.1,33.3,103
2022-11-10 15:28:29.000,23.1,33.3,103
2022-11-10 15:28:27.727,23.1,33.3,103
2022-11-10 15:28:26.723,23.1,33.3,103
2022-11-10 15:28:25.450,23.1,33.4,103
2022-11-10 15:28:24.446,23.1,33.4,103
2022-11-10 15:28:23.167,23.1,33.4,102
2022-11-10 15:28:22.168,23.1,33.4,101
2022-11-10 15:28:20.890,23.1,33.4,102
2022-11-10 15:28:19.890,23.1,33.4,103
2022-11-10 15:28:18.613,23.1,33.4,102
2022-11-10 15:28:17.609,23.1,33.4,102
2022-11-10 15:28:16.335,23.1,33.4,103
2022-11-10 15:28:15.330,23.1,33.4,103
2022-11-10 15:28:14.056,23.1,33.5,102
